p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
lesion	1160	0.0281	0.0969	0.2905	0.7714	0.0716	0.0033	1.0145	0.0094	-0.0012	0.0064
QSM_Right_SN	1558	0.0494	0.0324	1.5225	0.1279	0.0818	0.0038	1.0404	0.0109	-0.0064	0.0058
QSM_Right_pallidum	4079_irnt	-0.0431	0.0367	-1.1746	0.2402	0.1338	0.0055	1.0668	0.0154	0.0085	0.0062
QSM_Right_SN	30780_irnt	0.0275	0.0387	0.7102	0.4776	0.0801	0.0183	1.1608	0.1173	-0.001	0.0062
QSM_Right_SN	6150_4	-0.0485	0.0326	-1.4872	0.137	0.1202	0.0051	1.0669	0.0173	0.0089	0.0067
QSM_Right_putamen	30740_irnt	0.0816	0.0366	2.2306	0.0257	0.0743	0.0095	1.049	0.0192	0.0096	0.0058
QSM_Right_SN	1160	-0.0044	0.0357	-0.124	0.9013	0.0716	0.0033	1.0144	0.0094	-0.0036	0.0053
lesion	21001_irnt	0.0672	0.0568	1.1825	0.237	0.2464	0.0089	1.0643	0.0187	-0.015	0.0068
QSM_Right_caudate	1239	0.0579	0.0389	1.4883	0.1367	0.0533	0.0029	1.0151	0.0104	0.0148	0.0065
QSM_Left_pallidum	30740_irnt	0.035	0.0367	0.9549	0.3396	0.0743	0.0095	1.049	0.0192	-0.0009	0.0054
T2_WMH	2443	0.0273	0.0539	0.5058	0.613	0.0438	0.0027	1.0419	0.0106	-0.0033	0.005
QSM_Left_SN	30740_irnt	0.0486	0.038	1.2785	0.2011	0.0743	0.0095	1.049	0.0192	0.0062	0.0062
volume	30780_irnt	0.0831	0.0898	0.9256	0.3547	0.0801	0.0184	1.1609	0.1171	-0.0106	0.0071
QSM_Left_pallidum	1239	-0.0335	0.0463	-0.7226	0.4699	0.0533	0.0029	1.0151	0.0104	0.0144	0.0065
QSM_Left_amygdala	4079_irnt	0.0533	0.0856	0.6235	0.5329	0.1338	0.0055	1.0668	0.0154	-0.0006	0.0072
QSM_Right_pallidum	100270	0.0118	0.0809	0.146	0.8839	0.0537	0.0103	0.998	0.0067	-0.0018	0.0047
QSM_Right_caudate	100270	0.0656	0.0835	0.7859	0.4319	0.0537	0.0103	0.998	0.0067	0.0032	0.0051
QSM_Left_amygdala	6150_3	-0.2781	0.1833	-1.5172	0.1292	0.004	0.0012	1.0062	0.0062	0.0019	0.0044
QSM_Left_amygdala	6150_4	-0.0528	0.0847	-0.6235	0.533	0.1202	0.0051	1.0669	0.0173	0.0088	0.0072
